track_id,track_name_x,popularity,track_uri,artist_name,artist_popularity,artist_genres,album,track_name_y,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,79,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John,88,"['glam rock', 'mellow gold', 'piano rock']",The Lockdown Sessions,Cold Heart - PNAU Remix,0.795,0.8,116.032,-6.32,0.934,0.0309,7.25e-05,0.0915,0.0354
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,82,spotify:track:5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,74,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']",Walking On A Dream (10th Anniversary Edition),Walking On A Dream,0.871,0.701,126.975,-5.594,0.716,0.0458,7.52e-06,0.0589,0.257
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,89,spotify:track:086myS9r57YsLbJpU0TgK9,Arctic Monkeys,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",AM,Why'd You Only Call Me When You're High?,0.691,0.631,92.004,-6.478,0.8,0.0368,1.13e-05,0.104,0.0483
2AT8iROs4FQueDv2c8q2KE,R U Mine?,83,spotify:track:2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",AM,R U Mine?,0.288,0.758,97.094,-5.692,0.619,0.0371,0.0,0.303,0.00616
7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,72,spotify:track:7e8utCy2JlSB8dRHKi49xM,Arctic Monkeys,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",Favourite Worst Nightmare (Standard Version),Fluorescent Adolescent,0.646,0.813,112.115,-5.29,0.821,0.0288,2.26e-05,0.144,0.00178
3G6hD9B2ZHOsgf4WfNu7X1,Team,81,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,Lorde,81,"['art pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",Pure Heroine,Team,0.69,0.578,99.961,-7.436,0.416,0.0929,0.0,0.305,0.167
3H7ihDc1dqLriiWXwsc2po,Breaking Me,84,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,80,"['dance pop', 'edm', 'electro house', 'german dance', 'pop dance', 'pop edm', 'tropical house']",Breaking Me,Breaking Me,0.789,0.72,122.031,-5.652,0.664,0.218,0.0,0.129,0.223
2B4GHvToeLTOBB4QLzW3Ni,Pepas,86,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,90,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",La 167,Pepas,0.762,0.766,130.001,-3.955,0.442,0.0343,6.98e-05,0.128,0.00776
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),80,spotify:track:6lV2MSQmRIkycDScNtrBXO,B.o.B,77,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",B.o.B Presents: The Adventures of Bobby Ray,Airplanes (feat. Hayley Williams of Paramore),0.66,0.867,93.033,-4.285,0.377,0.116,0.0,0.0368,0.11
1BZG99C7Co1r6QUC3zaS59,Same Old Love,70,spotify:track:1BZG99C7Co1r6QUC3zaS59,Selena Gomez,86,"['dance pop', 'pop', 'post-teen pop']",Revival (Deluxe),Same Old Love,0.672,0.593,98.02,-4.01,0.438,0.0304,0.0,0.214,0.0223
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,85,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,86,"['dance pop', 'pop', 'post-teen pop']",Rare,Lose You To Love Me,0.488,0.343,102.819,-8.985,0.0978,0.0436,0.0,0.21,0.556
15og0pCEcTFWEXOFKdcJlU,Hate Me,72,spotify:track:15og0pCEcTFWEXOFKdcJlU,Ellie Goulding,81,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",Brightest Blue,Hate Me,0.64,0.789,75.018,-4.891,0.762,0.0644,0.0,0.147,0.0875
0xMd5bcWTbyXS7wPrBtZA6,Burn,71,spotify:track:0xMd5bcWTbyXS7wPrBtZA6,Ellie Goulding,81,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",Halcyon Days,Burn,0.559,0.777,87.016,-5.031,0.329,0.0432,0.0,0.105,0.31
2M9ro2krNb7nr7HSprkEgo,Fast Car,82,spotify:track:2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,72,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",Tracy Chapman,Fast Car,0.711,0.292,103.951,-15.523,0.194,0.037,0.0,0.131,0.313
1t9WgS8FN0534tLBRwbaxO,Whoopty,76,spotify:track:1t9WgS8FN0534tLBRwbaxO,CJ,70,['nyc rap'],Loyalty Over Royalty,Whoopty,0.719,0.648,140.201,-7.6,0.66,0.125,0.0,0.127,0.2
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),81,spotify:track:3yOlyBJuViE2YSGn3nVE1K,Camila Cabello,87,"['dance pop', 'pop', 'post-teen pop']",Romance,My Oh My (feat. DaBaby),0.724,0.491,105.046,-6.024,0.383,0.0296,1.29e-05,0.0887,0.018
3LlmKSHR3Rs0Y3KHQLAYDk,Alone,77,spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk,Alan Walker,85,['electro house'],Different World,Alone,0.673,0.914,97.021,-3.962,0.183,0.0496,0.000478,0.186,0.229
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,94,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,94,"['dance pop', 'pop']",Planet Her,Need to Know,0.664,0.609,130.041,-6.509,0.194,0.0707,0.0,0.0926,0.304
